0.371007,0.369072,0.389094,0.369549,0.366641
0.369072,0.389094,0.369549,0.366641,0.369203
0.389094,0.369549,0.366641,0.369203,0.388698
0.369549,0.366641,0.369203,0.388698,0.391410
0.366641,0.369203,0.388698,0.391410,0.395622
0.369203,0.388698,0.391410,0.395622,0.395360
0.388698,0.391410,0.395622,0.395360,0.404454
0.391410,0.395622,0.395360,0.404454,0.398777
0.395622,0.395360,0.404454,0.398777,0.399632
0.395360,0.404454,0.398777,0.399632,0.404346
0.404454,0.398777,0.399632,0.404346,0.406874
0.398777,0.399632,0.404346,0.406874,0.417637
0.399632,0.404346,0.406874,0.417637,0.418736
0.404346,0.406874,0.417637,0.418736,0.422329
0.406874,0.417637,0.418736,0.422329,0.425937
0.417637,0.418736,0.422329,0.425937,0.420355
0.418736,0.422329,0.425937,0.420355,0.398923
